instance_type,region,os,tenancy,pre_install,on_demand_hourly,reserved_one_all_yearly,reserved_one_partial_yearly,reserved_one_partial_hourly,reserved_one_no_hourly
m4.4xlarge,eu-west-1,RHEL,Shared,NA,1.018,6084.0,2523.0,0.418,0.7348
i2.8xlarge,ap-southeast-1,Linux,Shared,NA,8.14,35896.0,20966.0,1.788,4.88
i2.2xlarge,ap-southeast-2,SUSE,Shared,NA,2.135,9258.0,5418.0,0.46,1.256
m4.4xlarge,ap-southeast-1,Windows,Shared,NA,1.736,11530.0,5817.0,0.664,1.3576
t2.xlarge,ap-southeast-2,Windows,Shared,NA,0.2974,2007.0,1021.0,0.116,0.246
r3.large,us-gov-west-1,Linux,Shared,NA,0.2,927.0,617.0,0.037,0.125
i3.8xlarge,us-east-1,Linux,Shared,NA,2.496,13928.0,7106.0,0.811,1.714
m4.16xlarge,ap-southeast-1,Linux,Shared,NA,4.0,20329.0,10372.0,1.184,2.4864
hi1.4xlarge,ap-northeast-1,Windows,Dedicated,SQL Web,4.084,20729.0,9519.0,1.328,2.825
t2.medium,sa-east-1,Windows,Shared,SQL Web,0.246,1191.0,604.0,0.069,0.139
r4.8xlarge,ap-south-1,RHEL,Dedicated,NA,2.805,14918.0,7030.0,0.933,1.8117
i2.4xlarge,ap-northeast-1,SUSE,Dedicated,NA,4.502,20396.0,11938.0,1.013,2.78
c1.medium,us-west-2,Windows,Dedicated,SQL Web,0.341,1738.0,704.0,0.122,0.236
t2.medium,ca-central-1,Linux,Shared,NA,0.052,300.0,153.0,0.018,0.037
p2.8xlarge,ap-southeast-2,Linux,Dedicated,NA,13.57,77722.0,39654.0,4.527,9.506
i2.4xlarge,ap-northeast-1,Windows,Shared,SQL Std,8.103,33050.0,13489.0,2.31,4.504
r4.4xlarge,us-east-1,Windows,Dedicated,NA,1.906,12474.0,6298.0,0.719,1.4752
r3.xlarge,us-gov-west-1,SUSE,Shared,NA,0.499,2144.0,1409.0,0.088,0.284
t2.xlarge,ca-central-1,Windows,Shared,SQL Web,0.3184,2192.0,1108.0,0.127,0.2602
m4.4xlarge,eu-central-1,Windows,Dedicated,NA,1.792,12340.0,6230.0,0.7112,1.4567
m1.xlarge,eu-west-1,Linux,Shared,NA,0.379,2057.0,987.0,0.127,0.272
c3.xlarge,us-west-2,Windows,Dedicated,SQL Web,0.596,3111.0,1267.0,0.218,0.424
i2.xlarge,us-gov-west-1,SUSE,Dedicated,NA,1.235,4404.0,2596.0,0.216,0.599
m4.2xlarge,eu-west-1,Windows,Shared,SQL Std,2.37,14628.0,7463.0,0.852,1.994
i2.xlarge,ap-northeast-1,SUSE,Shared,NA,1.101,4840.0,2846.0,0.239,0.659
d2.xlarge,us-west-1,SUSE,Dedicated,NA,0.959,4256.0,2199.0,0.244,0.573
x1.16xlarge,ap-south-1,Windows,Dedicated,SQL Server Enterprise,37.05,286940.0,143989.0,16.437,33.171
d2.xlarge,ap-southeast-1,Windows,Shared,SQL Server Enterprise,2.554,18515.0,9296.0,1.061,2.197
r3.2xlarge,us-east-2,Linux,Dedicated,NA,0.732,3399.0,2261.0,0.138,0.46
r4.large,ca-central-1,Windows,Dedicated,NA,0.253,1633.0,825.0,0.094,0.1936
t2.medium,ca-central-1,RHEL,Shared,NA,0.112,826.0,153.0,0.078,0.097
